X.1,Men,Women
1970,29954,27137
1971,30343,27513
1972,29687,26802
1973,29717,27273
1974,29825,26578
1975,29689,26235
1976,30194,26901
1977,29579,26079
1978,30530,27188
1979,30143,27311
1980,30847,28250
1981,31200,28563
1982,30750,28454
1983,31618,29138
1984,30456,28146
1985,30934,28649
1986,30880,29225
1987,30740,28771
1988,31283,29365
1989,31349,29533
1990,32492,31247
1991,32076,30558
1992,31670,30632
1993,31540,30972
1994,31228,30759
1995,31622,31767
1996,30774,31869
1997,30680,32200
1998,31016,31551
1999,30430,32069
2000,30411,32134
2001,29871,31351
2002,29727,32041
2003,30285,32785
2004,28991,31189
2005,29708,31351
2006,29212,31071
2007,29544,31545
2008,29463,31770
2009,30028,32448
2010,30283,32366
2011,30094,31997
2012,30697,33476
2013,31257,33704
2014,30950,32988
2015,32646,34960
2016,31283,33681
2017,32405,34566
2018,32398,34690
2019,32756,35024
2020,37624,38571
2021,35105,36087
2022,36442,37983
2023,35109,36713
